Name,Album
Jag Soona Soona Lage,Om Shanti Om
Dhoom Again,Dhoom 2: Back In Action
Mahiya,Awarapan
Kya Mujhe Pyaar Hai,Woh Lamhe
Ek Pal Ka Jeena,Kaho Naa Pyaar Hai
Manassa,Munna
Kuch Khaas,Fashion
Main Kya Karoon,Barfi
Barfi,Barfi
Aashiyan,Barfi
Kyon,Barfi
Saawali Si Raat,Barfi
Phir Le Aya Dil,Barfi
Tu Hi Haqeeqat,Tum Mile
Yeh Ishq Hai,Jab We Met
Mitwa,Kabhi Alvida Naa Kehna
Maa,Taare Zameen Par
Kal Ho Na Ho,Kal Ho Naa Ho
Kal Ho Na Ho (Sad),Kal Ho Naa Ho
Javeda Zindagi - Tose Naina Lage,Anwar
Kholo Kholo,Taare Zameen Par
Titli,Chennai Express
Bande Mein Tha Dum... Vande Mataram,Lage Raho Munna Bhai
Jai Ho,Slumdog Millionaire
Hichki Hichki,Paa
Ali Maula,Kurbaan
Kabhi Kabhi Aditi Zindagi,Jaane Tu.. Ya Jaane Na
What's Going On?,Salaam Namaste
My Dil Goes Mmmm,Salaam Namaste
Kaahe Chhed (Devdas / Soundtrack Version),Devdas (OST)
Kabira,Yeh Jawaani Hai Deewani
Uff Teri Adaa I Like You,Karthik Calling Karthik
Ek Din Teri Raahon,Naqaab
Phir Le Aya Dil (Reprise),Barfi
Bachna Ae Haseeno,Bachna Ae Haseeno
Sajdaa,My Name Is Khan
Khwab Dekhe Sexy Lady,Race
Pal Pal... Har Pal,Lage Raho Munna Bhai
Kuch To Hua Hai,Kal Ho Naa Ho
Hamesha Tumko Chaha (Devdas / Soundtrack Version),Devdas (OST)
Jame Raho,Taare Zameen Par
Bumbro,Mission Kashmir
Chak De India,Chak De! India
Badal Pe Paon Hain,Chak De! India
Ajab Si,Om Shanti Om
Main Agar Kahoon,Om Shanti Om
Dastaan-E-Om Shanti Om,Om Shanti Om
Sajanji Vaari Vaari,Honeymoon Travels Pvt. Ltd
Mauja Hi Mauja,Jab We Met
Bum Bum Bole,Taare Zameen Par
Phir Mohabbat,Murder 2
Chand Sifarish,Fanaa
O Re Piya,Aaja Nachle
Noor E Khuda,My Name Is Khan
Tera Hone Laga Hoon,Ajab Prem Ki Ghazab Kahani
Taare Zameen Par,Taare Zameen Par
Dhadak Dhadak,Bunty Aur Babli
Badtameez Dil,Yeh Jawaani Hai Deewani
Saree Ke Fall Sa,R... Rajkumar
Saans,Jab Tak Hai Jaan
Jiya Re,Jab Tak Hai Jaan
Inteha Ho Gayi Intezaar Ki,Sharaabi
Baby Doll,Ragini MMS 2
Samjhawan,Humpty Sharma Ki Dulhania
Kahin To,Jaane Tu.. Ya Jaane Na
Daaru Desi,Cocktail
Raat Bhar,Heropanti
Afsana,Dil Diya Hai
Bandya,Khuda Ke Liye
Aaj Phir,Hate Story 2
Raabta,Agent Vinod
Ilahi,Yeh Jawaani Hai Deewani
Noor-Un-Ala-Noor,My #1 Sufi
Yaar Naa Miley,Kick
Aa Zara,Murder 2
Sheila Ki Jawani,Tees Maar Khan
One Two Three Four (Get On The Dance Floor),Chennai Express
Aadat,Kalyug
Manmohini Morey,Yuvvraaj
Kabhi Jo Baadal Barse,Arijit Singh - Tum Hi Ho
Kabhi Jo Baadal Barse,Jackpot
Bezubaan,ABCD - Any Body Can Dance
Be Intehaan,Race 2
Duaa,Shanghai
Sapnon Se Bhare Naina,Luck By Chance
O Rangrez,Bhaag Milkha Bhaag
Tere Liye,Prince
Jeena Jeena,Badlapur
Mar Jaava,Fashion
Ambarsariya,Fukrey
Mann Mera,Table No. 21
Ishq Shava,Jab Tak Hai Jaan
Suno-Na Sangemarmar,Youngistaan
Daawat-e-Ishq,Daawat-e-Ishq
Bhare Naina,Ra-One
Jiya Lage Na,Talaash
Lambi Judai,Jannat
Pani Da Rang (Male),Vicky Donor
Girls Like To Swing,Dil Dhadakne Do
Naina,Khoobsurat
Harjaiyaan,Queen
Bol Na Halke Halke,Jhoom Barabar Jhoom
Ya Ali,Gangster
Veyira Cheyyi Veyira,Panjaa
Dhivara,Baahubali - The Beginning
Manohari,Baahubali - The Beginning
Ve Baneya,Coke Studio Season 8 Episode 6
Judaai,Badlapur
Nach Baliye,Bunty Aur Babli
Dil Mera Muft Ka,Agent Vinod
Badra Bahaar,Queen
Laal Ishq,Ram-Leela
Tennu Le Kejo Na,Jai Veeru
Saware,Phantom
Gerua,Dilwale
Tujhe Bhula Diya Phir,Anjaana Anjaani
Maula Mere Maula,Anwar
Deewani Mastani,Bajirao Mastani
Main Dhoondne Ko Zamaane Mein,Heartless
Hasi (Male Version),Hamari Adhuri Kahani
Manhattan,English Vinglish
Tere Sang Yaara,Rustom
Kannuodu Kaanbadhalam,Jeans
"Mann Chandra (From ""Connections"")",MasterWorks - A.R. Rahman (The Musical Wizard)
Jee Le Zaraa,Talaash
Guzarish,Ghajini
Teri Yaad Mein,My #1 Sufi
Jhoom Barabar Jhoom,Jhoom Barabar Jhoom
